epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,508.378,0.42048,0.63037,0.64968,0.96356,0.94709,0.98416,0.91608,0.40645,0.48655,0.64504,0.000276336,0.000276336,0.000276336
118,512.626,0.39779,0.62391,0.61863,0.95187,0.96977,0.98106,0.9138,0.40337,0.50008,0.64068,0.000270882,0.000270882,0.000270882
119,517.599,0.38338,0.5741,0.60095,0.95339,0.95296,0.98004,0.90753,0.39823,0.51988,0.63445,0.000265428,0.000265428,0.000265428
120,521.444,0.447,0.65575,0.61941,0.87788,0.93733,0.96033,0.8898,0.4101,0.59516,0.62803,0.000259974,0.000259974,0.000259974
121,525.424,0.40891,0.59056,0.63017,0.91168,0.9286,0.96991,0.89807,0.41914,0.61772,0.63088,0.00025452,0.00025452,0.00025452
122,530.824,0.42236,0.63594,0.63176,0.87144,0.92391,0.95657,0.8851,0.42573,0.63875,0.63586,0.000249066,0.000249066,0.000249066
123,534.618,0.38878,0.54826,0.61161,0.91074,0.92359,0.9682,0.90322,0.42073,0.6428,0.63352,0.000243612,0.000243612,0.000243612
124,538.419,0.37142,0.5472,0.60421,0.86373,0.94325,0.95908,0.89698,0.40407,0.61765,0.63169,0.000238158,0.000238158,0.000238158
125,543.795,0.38447,0.5807,0.60678,0.86542,0.95916,0.95878,0.89448,0.39319,0.58342,0.62761,0.000232704,0.000232704,0.000232704
126,547.661,0.3953,0.57575,0.60169,0.85182,0.96036,0.9533,0.88555,0.38839,0.5598,0.62624,0.00022725,0.00022725,0.00022725
127,551.858,0.44647,0.63807,0.62299,0.89074,0.94135,0.96045,0.89388,0.38708,0.54136,0.62554,0.000221796,0.000221796,0.000221796
128,557.008,0.39577,0.6035,0.61372,0.9292,0.95154,0.97405,0.91311,0.38218,0.52881,0.62304,0.000216342,0.000216342,0.000216342
129,561.24,0.36151,0.53182,0.59734,0.93384,0.9452,0.97256,0.90921,0.38055,0.51227,0.62264,0.000210888,0.000210888,0.000210888
130,564.929,0.38969,0.57548,0.64931,0.94221,0.94496,0.97405,0.9144,0.37956,0.50468,0.6207,0.000205434,0.000205434,0.000205434
131,569.594,0.34868,0.61415,0.60472,0.94039,0.946,0.97536,0.91711,0.38017,0.49642,0.61945,0.00019998,0.00019998,0.00019998
132,574.208,0.3929,0.57165,0.62584,0.89177,0.95714,0.9671,0.91358,0.38528,0.49616,0.62113,0.000194526,0.000194526,0.000194526
133,578.263,0.37132,0.5095,0.60902,0.88736,0.96313,0.96739,0.90568,0.38112,0.49983,0.61711,0.000189072,0.000189072,0.000189072
134,582.305,0.39639,0.5885,0.61242,0.88566,0.96604,0.96866,0.90536,0.37596,0.505,0.61432,0.000183618,0.000183618,0.000183618
